Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0333792456099275,0.00696796132744282,-0.181820132036536,0,0,0,0.000523598775598299,5.23598775598299E-09,-3.14694645605544E-41,-4.97841222228891E-56,5.23598775598299E-09,0,5.23598775598299E-09,0,0,0,0,0,0,package://all18.sldasm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/base_link.STL,,o-1,base1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base,-0.0191214293937686,0.0210000899951462,-0.0564412527734638,0,0,0,0.497818026810933,0.00183492237382758,-2.81215869790794E-09,-6.12233490314299E-06,0.000327236183202989,-1.52757729457466E-09,0.00171964399163047,0,0,0,0,0,0,package://all18.sldasm/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/base.STL,,base-1,c1,a1,jbase,continuous,0.00400000000000071,-0.0210004689290468,-0.135354546704202,0,0,0,base_link,0,1,0,,,,,,,,,,,,
up,-0.000358969853697724,0.0210176681596711,0.143821678022038,0,0,0,0.145045484251342,0.00183495811461002,1.00718350566443E-08,-5.28890803610092E-05,0.0011112557556715,-5.85295320638727E-08,0.000750996955240693,0,0,0,0,0,0,package://all18.sldasm/meshes/up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/up.STL,,up-1,c1,a1,jup,continuous,0,0,0,0,0,0,base,0,1,0,,,,,,,,,,,,
hl0,-0.012444043654672,0.0630330454718175,0.00126114384973358,0,0,0,0.0345606498251114,4.0820399272762E-05,-9.51733838576895E-06,-3.89843594001045E-07,1.29632372529317E-05,-2.23840344717383E-06,5.24441566488473E-05,0,0,0,0,0,0,package://all18.sldasm/meshes/hl0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/hl0.STL,,LG4L-1,clgl1,lgl1,jhl0,continuous,0.0119999999999987,0.126,-0.00999999999999812,0,0,0,base,-1,0,0,,,,,,,,,,,,
LGL2,0.0303402345828551,-0.000238949225249835,-0.0921190713255071,0,0,0,0.0480025209039811,0.000111770026393275,-1.92086992344369E-09,0.000102318757127282,0.000234605578738602,-1.8790706655784E-08,0.000123763363972141,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL2.STL,,LG2L-1,clgl2,lgl2,JLGL2,continuous,0.0199999999999986,0.0949999999999874,0,0,0,0,hl0,1,0,0,,,,,,,,,,,,
LGL3,-0.0259705484850737,-0.000999385124667941,-0.0433603663769984,0,0,0,0.0440449672148023,7.38602754378877E-05,2.68585858225746E-08,2.22587431264711E-08,0.000101802073587482,-8.37820730757103E-06,4.16167541378933E-05,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL3.STL,,hl0-1,clgl5,lgl5,JLGL3,continuous,0.118500000000001,0,-0.169999997278064,0,0,0,LGL2,-1,0,0,,,,,,,,,,,,
LGL4,-0.0815101633243112,0.00090998729349458,0.0773021473229439,0,0,0,0.0247761471784957,5.74694326140297E-05,1.68748777548126E-07,4.91847237830646E-05,0.000105893052871461,-8.42574317637952E-08,4.90008441529051E-05,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/LGL4.STL,,LG5L-1,clgl6,lgl6,JLGL4,continuous,-0.0125,0.0281907786235769,0.0102606042997705,0,0,0,LGL3,1,0,0,,,,,,,,,,,,
Q,0.00737924560992977,-0.221222347469288,-0.046726143074364,0,0,0,0.000523598775598299,5.23598775598299E-09,-3.14694645605544E-41,-4.97841222228891E-56,5.23598775598299E-09,0,5.23598775598299E-09,0,0,0,0,0,0,package://all18.sldasm/meshes/Q.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/Q.STL,,o-1,c2,hl0,JQ,continuous,-0.116000000000001,0,0.169999999744713,0,0,0,LGL4,1,0,0,,,,,,,,,,,,
hl1,0.0133498937147595,-0.0238046214490557,-0.172664834958128,0,0,0,1.01104308189925,0.00145265002912084,8.0433424924099E-05,-0.000112470355803545,0.00176407136725321,-1.28353527421716E-05,0.000926948423015179,0,0,0,0,0,0,package://all18.sldasm/meshes/hl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/hl1.STL,,lthigh-1,c3,hl1,jhl1,continuous,-0.0260000021964453,0.00514093216985746,-0.06179130036624,0,0,0,LGL3,0,1,0,,,,,,,,,,,,
kl,0.0333224268442176,-0.0406715046714338,-0.0929075490419892,0,0,0,0.0788046240275913,0.000272384188746931,1.63113405200858E-05,2.0707066924017E-05,0.000195539432878404,-7.85136563050533E-05,0.000101363064081106,0,0,0,0,0,0,package://all18.sldasm/meshes/kl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://all18.sldasm/meshes/kl.STL,,lshank-1,c4,kl,jkl,continuous,-0.00552885197136085,-0.0155925666722328,-0.466487667780456,0,0,0,hl1,0,1,0,,,,,,,,,,,,
